current_round,start_aggregation,end_aggregation,participant count,actual partipants
5,1743024217.210915,1743024234.752233,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
6,1743024238.0422652,1743024251.996424,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
7,1743024256.899455,1743024267.875781,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
8,1743024270.755073,1743024282.158149,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
9,1743024284.219979,1743024297.759291,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
10,1743024300.7597818,1743024313.422956,3,"['0162be21-ee80-4c19-b9f6-aca9dd25b5d5', '7c5c9cc6-0ba3-40b8-9923-d38774d87dbd', '7df98523-bb5c-495d-aea8-1ba725b41f5b']"
10,1743024318.048883,1743024318.0504918
1,1743024540.045536,1743024575.9506712,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
2,1743024580.598291,1743024594.805177,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
3,1743024598.727603,1743024611.929261,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
4,1743024613.881353,1743024629.163889,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
5,1743024632.139217,1743024645.123574,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
6,1743024649.468066,1743024663.2900128,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
7,1743024666.381293,1743024679.53558,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
8,1743024681.757504,1743024695.884686,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
9,1743024698.388863,1743024712.814094,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
10,1743024718.192439,1743024730.790731,3,"['32c85410-f77a-415f-a776-4e9dcde31c74', 'abde8f27-ea84-4bd5-9d2f-b4cd6c7141ce', 'd6550ba9-d66a-4765-8826-501b1360dd6f']"
10,1743024733.645531,1743024733.6458209
1,1743024807.438616,1743024903.456594,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
2,1743024917.8629491,1743024971.868941,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
3,1743024978.413756,1743025021.659711,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
4,1743025026.684181,1743025057.6701272,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
5,1743025064.850326,1743025081.8744361,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
6,1743025084.545115,1743025098.803922,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
7,1743025101.937363,1743025115.36152,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
8,1743025117.811927,1743025130.064658,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
9,1743025134.386538,1743025147.322272,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
10,1743025150.291177,1743025162.945971,3,"['00497a55-0e83-49ed-83ce-36a1dac2c7c6', '5b1297ba-8c44-4135-95e4-455da3adb305', '9b7bd9e8-23b1-4837-aabc-bff2596bddcb']"
10,1743025165.733344,1743025165.734313
1,1743025274.617416,1743025364.10498,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
2,1743025380.921356,1743025454.2292411,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
3,1743025470.802686,1743025530.9755478,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
4,1743025548.370201,1743025605.8469539,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
5,1743025619.094624,1743025637.884691,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
6,1743025642.5114062,1743025656.272202,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
7,1743025659.555424,1743025671.422684,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
8,1743025673.7932842,1743025684.946597,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
9,1743025689.9840589,1743025700.507303,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
10,1743025702.874778,1743025717.195733,3,"['386b5a84-acc4-4cf7-8b5f-064197cab013', '71372aa8-ebc7-4fd1-8b9a-f686be900f25', '74229455-9938-43a6-9026-74723ac156c9']"
10,1743025720.628605,1743025720.629892
1,1743025866.2577732,1743025897.675699,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
2,1743025904.068417,1743025942.5501618,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
3,1743025948.351386,1743026007.748511,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
4,1743026023.4696379,1743026062.8315961,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
5,1743026068.097594,1743026097.353197,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
6,1743026106.2037609,1743026131.3930361,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
7,1743026135.7205691,1743026151.990705,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
8,1743026154.3085818,1743026166.808287,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
9,1743026170.759043,1743026180.449855,3,"['332dc94f-66c5-4ae6-b3e0-a880c45fb699', '4fb00b44-5dde-4c96-b905-101d638fae1f', 'dd541f0c-974f-4d39-bcdb-6bf29ecc7f5d']"
